,Wounded,Gender of Victims (M/F/Both),Targeted Specific Victim(s),Suicide (or attempted suicide) by Shooter (Y/N),Pre-planned school attack,Day of week (formula),School Type,Number of Shooters,Killed
299,0.0,1,1,0,0,3,2,1.0,1
300,2.0,2,1,0,0,4,2,3.0,0
301,0.0,0,1,0,0,2,2,1.0,1
302,3.0,2,1,0,0,3,2,1.0,1
303,1.0,0,1,1,0,2,2,1.0,0
304,1.0,0,1,0,0,4,2,1.0,0
305,0.0,0,1,1,0,1,2,1.0,1
306,3.0,2,1,0,1,4,3,1.0,1
307,1.0,1,1,0,0,1,3,2.0,0
308,0.0,0,0,1,0,0,2,1.0,2
309,1.0,1,0,0,0,4,2,2.0,0
310,0.0,1,1,1,0,0,0,1.0,1
311,2.0,2,1,0,0,3,2,1.0,1
312,0.0,0,1,0,0,3,2,1.0,1
313,1.0,0,0,0,0,6,2,1.0,0
314,0.0,0,1,1,0,2,2,1.0,1
315,1.0,0,1,1,0,2,1,1.0,0
316,1.0,0,1,1,0,2,2,1.0,0
317,1.0,0,1,0,0,0,2,1.0,0
318,0.0,0,-1,0,0,2,2,1.0,1
319,2.0,0,-1,0,0,4,0,1.0,0
320,1.0,0,1,0,0,2,2,1.0,0
321,0.0,0,1,1,0,5,2,1.0,1
322,0.0,2,1,1,0,0,0,1.0,2
323,0.0,-1,0,0,-1,2,2,1.0,0
324,1.0,1,1,0,0,4,2,1.0,0
325,1.0,0,0,0,0,1,2,1.0,0
326,0.0,0,-1,1,0,2,2,1.0,1
327,1.0,0,1,0,0,1,2,1.0,0
328,1.0,1,1,1,0,2,2,1.0,0
329,1.0,0,-1,0,-1,4,2,1.0,0
330,0.0,1,1,0,0,2,2,1.0,1
331,0.0,1,1,0,0,4,2,1.0,1
332,0.0,-1,0,0,0,1,0,2.0,0
333,2.0,0,0,0,0,3,2,2.0,1
334,1.0,0,1,0,0,4,2,1.0,0
335,1.0,-1,0,0,0,4,1,1.0,0
336,0.0,-1,1,0,0,2,2,0,0
337,0.0,-1,-1,0,0,3,2,1.0,0
338,1.0,0,0,0,0,3,2,1.0,0
339,1.0,0,1,0,0,0,1,1.0,0
340,6.0,2,1,0,0,4,0,1.0,2
341,1.0,1,0,0,0,1,0,0,0
342,2.0,0,1,0,0,3,2,3.0,0
343,1.0,0,1,0,0,4,1,1.0,0
344,1.0,1,1,0,0,3,2,1.0,0
345,1.0,0,1,0,0,6,0,1.0,0
346,1.0,0,1,0,0,0,2,1.0,0
347,1.0,0,1,0,0,2,2,2.0,0
