gsId,name,old name,matching,shoot,type,gradeCategory,gradeRange,enrollment,parentRating,gsRating,district,districtId,districtNCESId,ncesId,address,city,gsID_census,Asian,"Black, non-Hispanic",Hispanic,Multiracial,Native American or Native Alaskan,Native Hawaiian or Other Pacific Islander,"White, non-Hispanic",actSatNumberParticipation,apCourseParticipation,apCoursePassed,freeAndReducedPriceLunch,idea,percentTeachersInFirstSecondYear,plan504
63,Emery Secondary School,,,0,public,9-12,12-Sep,183,3,4,Emery Unified School District,7,612630,61263001426,"1100 47th Street, 
Oakland, CA  94608",Oakland,63,12.64,60.34,17.82,1.72,0,1.15,6.32,0,8.6,3,71.26,9.6,13.5,1.5
65,Anna Yates Elementary School,,,0,public,K-8,K-8,524,4,2,Emery Unified School District,7,612630,61263001425,"1125 53rd Street, 
Emeryville, CA  94608",Emeryville,65,11.64,50.76,20.99,1.72,0,0.76,14.12,0,8.6,3,75,8.4,0,0.9
66,American High School,,,0,public,9-12,12-Sep,2093,4,10,Fremont Unified School District,8,614400,61440001654,"36300 Fremont Boulevard, 
Fremont, CA  94536",Fremont,66,65.36,4.68,10.89,2.2,0.33,0.76,15.77,443,46.3,1147,21.83,6.7,4.9,1.3
67,Ardenwood Elementary School,,,0,public,K-5,K-6,989,4,8,Fremont Unified School District,8,614400,61440008138,"33955 Emilia Lane, 
Fremont, CA  94555",Fremont,67,82.1,1.21,4.65,4.75,0,0.1,7.18,443,46.3,1147,7.58,3.3,0,0.8
68,Joseph Azevada Elementary School,,,0,public,K-5,K-6,605,4,8,Fremont Unified School District,8,614400,61440001655,"39450 Royal Palm Drive, 
Fremont, CA  94538",Fremont,68,53.39,1.98,21.49,6.61,0.66,0.66,15.21,443,46.3,1147,26.12,11.3,0,1.5
69,John Blacow Elementary School,,,0,public,K-5,K-6,456,3,5,Fremont Unified School District,8,614400,61440001656,"40404 Sundale Drive, 
Fremont, CA  94538",Fremont,69,26.75,1.32,53.73,4.61,1.32,1.1,11.18,443,46.3,1147,51.1,8.1,3.4,1.3
70,Brier Elementary School,,,0,public,K-5,K-6,754,4,6,Fremont Unified School District,8,614400,61440001657,"39201 Sundale Drive, 
Fremont, CA  94538",Fremont,70,50.27,3.32,29.05,3.71,0.53,0.8,12.33,443,46.3,1147,45.89,4.7,6.7,2.8
71,Brookvale Elementary School,,,0,public,K-5,K-6,676,4,7,Fremont Unified School District,8,614400,61440001658,"3400 Nicolet Avenue, 
Fremont, CA  94536",Fremont,71,64.2,2.22,10.8,6.07,0,0.44,16.27,443,46.3,1147,12.43,11.1,7.7,0.4
72,Cabrillo Elementary School,,,0,public,K-5,K-6,484,3,5,Fremont Unified School District,8,614400,61440001659,"36700 San Pedro Drive, 
Fremont, CA  94536",Fremont,72,36.98,7.23,41.94,2.27,0.62,1.45,9.5,443,46.3,1147,51.86,6.5,16.7,0
73,Centerville Junior High,,,0,public,6-8,8-Jul,961,4,7,Fremont Unified School District,8,614400,61440001660,"37720 Fremont Boulevard, 
Fremont, CA  94536",Fremont,73,43.81,4.58,24.25,4.16,0.52,0.52,22.16,443,46.3,1147,32.99,4.5,5.3,2.4
