Asian,"Black, non-Hispanic",Hispanic,Multiracial,Native American or Native Alaskan,Native Hawaiian or Other Pacific Islander,"White, non-Hispanic",actSatNumberParticipation,apCourseParticipation,apCoursePassed,freeAndReducedPriceLunch,idea,percentTeachersInFirstSecondYear,plan504,gsId
9.87,16.39,59.87,1.84,0.19,3.48,8.35,177,18.8,198,75.19,7.4,14.8,0.6,121
9.15,12.42,60.78,7.84,1.31,1.96,6.54,177,18.8,198,75.16,2.9,6.8,0,122
18.24,8.94,64.75,1.1,0.61,2.69,3.67,177,18.8,198,81.64,8.6,13.5,0,124
6.61,7.85,77.55,2.2,0.41,2.34,3.03,177,18.8,198,88.15,6.3,3.9,0.3,125
27.33,9.56,51.82,1.44,0.3,3.53,6.02,176,10.3,112,69.24,8,14.3,0,127
21.38,8.49,57.08,2.52,0.47,3.93,6.13,176,10.3,112,73.74,10.9,10.3,0.6,129
23.69,6.94,58.21,3.89,0.34,3.89,3.05,176,10.3,112,79.02,6.2,11.6,0,130
13.62,9.14,66.9,3.97,0.34,3.62,2.41,176,10.3,112,83.45,4,5.6,0,131
23.24,4.75,60.56,4.4,0,4.4,2.64,176,10.3,112,79.58,6.8,15.7,0,132
6.53,4.22,77.96,2.86,0,4.49,3.95,176,10.3,112,84.35,12.6,0,0,133
27.22,9.46,44.83,5.97,0.87,5.82,5.82,176,10.3,112,58.95,8.8,7.6,0,135
6.02,13.38,67.06,4.68,0.33,2.51,6.02,176,10.3,112,81.61,8.9,3.8,0,136
14.91,7.5,69.32,0.54,0.23,4.4,3.09,160,16.4,83,82.92,10.5,6.1,0.2,137
21.89,14,53.25,3.16,0.79,2.56,4.34,160,16.4,83,68.64,4.8,7.5,0,138
6.94,3.95,83.81,1.09,0.41,2.86,0.95,160,16.4,83,91.97,4,0,0,139
7.41,9.55,73.68,0.97,0.58,3.12,4.68,160,16.4,83,89.08,7.8,7.7,0.3,140
7.09,2.42,32.05,11.59,0,0,46.86,160,16.4,83,23.51,14.1,5.2,1.4,143
13.66,2.11,26.18,5.37,0.81,0.49,51.38,160,16.4,83,20,14.1,16.8,4.3,144
10.1,1.18,29.29,9.09,0,0.17,50.17,160,16.4,83,21.89,32.9,6,0.5,145
4.55,2.27,46.21,4.55,0,0.76,41.67,0,16.4,83,51.52,7.2,16.2,0,146
9.82,2.74,31.08,6.28,0.32,0,49.76,0,16.4,83,28.82,13.4,4.1,1.1,147
9.96,1.55,24.58,7.29,0.34,0.34,55.95,479,28.5,542,15.06,9.8,9.1,2.9,148
8.78,1.2,41.12,7.39,0.4,0.4,40.72,479,28.5,542,41.72,12.6,4.5,0.7,149
8.97,1.78,29.32,6.41,0.28,0.5,52.73,265,24.2,397,20.35,9.7,2.5,1.8,151
6.11,1.36,77.38,2.71,0.23,0.23,11.99,265,24.2,397,78.73,11.5,4.6,0,152
9.28,0.63,17.51,7.28,0.21,0.53,64.56,265,24.2,397,9.92,8.8,9.2,4.1,153
9.77,1.09,35.81,10.08,0.16,0.78,42.33,265,24.2,397,30.7,12.6,8.1,0.4,154
5.38,0.96,70.45,3.11,0.24,0.48,19.38,265,24.2,397,63.04,16.3,16.5,0.9,156
8.12,2.21,34.13,11.25,0.18,0,44.1,265,24.2,397,20.66,15.4,0,0,157
13.33,0.68,18.5,12.24,0.14,0.27,54.83,265,24.2,397,10.2,11.7,0,0.5,158
6.86,0.26,16.69,8.15,0.39,0.26,67.4,265,24.2,397,4.14,13.2,0,1.3,159
0,0,42.11,0,10.53,0,47.37,265,24.2,397,68.42,18.6,0,0,160
56.14,5.72,25.15,6.2,0.24,1.67,4.89,265,24.2,397,48.87,8.6,0,0.2,161
60.11,7.38,18.88,5.75,0,2.27,5.61,265,24.2,397,35.63,9.1,5.7,1.6,162
24.38,5.22,59.03,3.43,0.23,2.1,5.61,265,24.2,397,55.37,10.3,4.7,0.9,165
14.4,6.95,66.56,4.47,1.66,2.15,3.81,265,24.2,397,70.86,9.2,0,0.3,168
37.56,4.79,40.64,5.94,0.46,1.71,8.9,265,24.2,397,42.35,8.4,0,0.9,169
44.16,7.8,33.98,4.64,0.24,3.19,5.98,562,25.6,774,41.18,8.3,2.5,1,170
57.04,6.21,19.57,5.85,0.12,1.91,9.31,562,25.6,774,33.29,8.2,0,0.5,171
16.74,4.86,66.95,3.86,1.14,3,3.43,562,25.6,774,63.09,6.9,0,0.6,172
7.89,7.89,68.42,1.32,0,2.63,11.84,0,25.6,774,60.53,13.7,0,2,173
38.4,5.94,28.57,7.05,0.37,2.23,17.44,0,25.6,774,23.75,8.7,0,0.7,174
11.39,2.23,72.52,3.96,0.5,2.48,6.93,0,25.6,774,67.57,13.4,1.1,0,175
18.1,2.3,40.23,11.21,0,2.01,26.15,0,25.6,774,24.71,10.2,12.5,1.7,176
17.57,3.22,50.99,7.43,0.25,2.48,18.07,0,25.6,774,41.83,11.2,1,1,177
26.27,5.08,60.17,1.98,0.28,1.41,4.8,0,25.6,774,65.25,12.6,0,1,178
19.06,3.68,61.87,3.68,0,2.34,9.36,0,25.6,774,65.55,15.2,7.9,0.6,179
23.49,5.09,49.58,3.17,0.4,1.87,16.41,0,22.2,315,42.11,12.7,1.3,0.8,180
19.57,6.74,52.73,3.53,0.21,1.71,15.51,0,22.2,315,48.56,17.2,0.6,1,181
10.97,3.01,76.77,3.23,0,1.94,4.09,0,22.2,315,74.19,13.7,4.3,0.3,182
21.49,3.18,54.38,7.16,0,2.39,11.41,0,22.2,315,50.13,17.7,1,1,183
16.58,29.14,46.26,2.41,0.27,0.53,4.81,0,22.2,315,85.83,8.3,12.5,0.5,184
42.75,19.08,30.53,0.76,0,0.76,6.11,0,22.2,315,83.97,2.6,55.6,0,185
46.97,24.46,19.48,4.11,0.43,0.22,4.33,0,22.2,315,86.36,14.1,0,0.4,186
31.09,25.34,21.42,7.83,0.98,0.12,13.22,0,22.2,315,62.55,14.5,33,0.5,187
3.59,25.14,64.09,1.1,0,3.87,2.21,0,22.2,315,81.77,16.1,4.5,0,188
7.06,67.66,14.13,6.32,0.37,2.97,1.49,0,22.2,315,85.5,16.4,12.5,0,191
6.7,8.47,10.76,15.34,0.18,0.35,58.2,0,22.2,315,14.11,6.7,26.1,1.8,194
9.33,41.63,18.42,8.37,0,0.24,22.01,0,22.2,315,56.94,16.7,26.7,0.4,195
40.44,19.12,12.25,14.22,0,0.49,13.48,0,22.2,315,58.33,7.1,6.7,0,196
7.33,10.67,8.89,12.67,0,0,60.44,0,22.2,315,8.67,7.4,6.7,0,199
10.95,36.32,47.76,2.49,1,0.5,1,9,22.2,315,74.63,9.5,12.5,0.8,200
9.55,51.27,18.47,6.37,0.64,0,13.69,9,22.2,315,78.34,17.4,0,0,202
1.9,43.67,51.27,0.63,0,1.27,1.27,4,22.2,315,71.52,8.8,20,0,203
56.67,14,22.27,3.87,0.4,0.4,2.4,4,22.2,315,90.4,8.3,14.7,0,205
3.92,51.47,42.65,0.49,0,1.47,0,4,22.2,315,93.63,16.7,8.7,0,207
16.31,29.41,40.91,4.01,1.6,1.07,6.68,4,22.2,315,86.9,9.9,10,0,208
32.34,16.17,45.38,2.64,0.33,0.99,2.15,4,22.2,315,94.55,8.3,4,0,209
15.04,20.13,16.15,11.73,0,0.22,36.73,4,22.2,315,36.06,7.5,0,0,210
3.65,69.71,17.88,4.38,0,2.55,1.82,4,22.2,315,71.17,7.8,10.4,0.8,212
18.18,34.92,29.75,5.17,0.62,2.07,9.3,4,22.2,315,78.72,16.6,15.2,0.3,213
2.51,13.13,81.84,1.12,0,0.56,0.84,4,22.2,315,93.85,6.7,0,1.3,216
10.93,7.92,7.65,15.3,0,0,58.2,4,22.2,315,5.46,7.8,6.9,0,217
6.48,45.05,40.27,2.73,0.68,0.34,4.44,4,22.2,315,93.86,4.3,0,0,218
5,61.36,21.36,5,0.91,2.27,4.09,4,22.2,315,86.82,15.8,11.4,0,219
9.06,25.28,17.74,16.6,0.75,0,30.57,4,22.2,315,23.77,7.2,0,0,221
14.98,57,9.12,8.47,0,1.95,8.47,4,22.2,315,94.14,19.9,18.8,0,222
18.94,14.76,62.12,1.39,0,0,2.79,4,22.2,315,86.63,7.8,9.1,0.8,224
9.35,59.81,20.09,3.27,0,1.4,6.07,4,22.2,315,91.59,14.2,5.9,0.6,225
28.62,37.21,23.43,4.11,0,1.79,4.83,4,22.2,315,75.31,6.8,9.1,0,228
80.81,7.84,4.05,3.92,0,0.27,3.11,4,22.2,315,70,5.5,7.4,0,230
2.32,13.89,81.19,0.58,0,1.16,0.87,4,28.8,0,96.96,13,35.3,0,234
6.19,38.12,42.82,4.95,0.5,5.45,1.98,4,28.8,0,92.82,6.6,5.9,0,235
18.99,30.89,44.05,4.3,0,0.51,1.27,4,28.8,0,92.91,12.6,11.8,0.6,236
2,32,61.5,2.5,0.25,0.75,1,4,28.8,0,95.25,15.6,5,0,237
2.44,5.78,87.56,1.33,0.22,0.67,2,4,28.8,0,94.44,2,0,0,241
12.47,15.29,15.76,10.59,0.71,1.41,43.76,4,28.8,0,23.29,10.3,0,0.5,242
11.06,13.17,14.47,19.35,0,0,41.95,4,28.8,0,15.45,0.9,5.6,0.4,243
10.88,40.15,21.04,7.74,0.36,1.45,18.38,4,28.8,0,50.42,13.4,19.7,0.2,244
5.79,57.85,18.6,7.44,4.13,1.24,4.96,4,28.8,0,75.21,12,0,0,245
4.21,7.89,84.74,1.05,0,0,2.11,4,28.8,0,88.42,12,0,0,246
33.23,34.68,26.78,2.4,0.13,0.69,2.08,332,20.5,41,88.19,11.6,4.2,0.6,247
19.74,31.4,18.2,6.5,0.15,0.25,23.76,484,26.4,522,47.92,9.8,16.8,0.7,248
1.29,66.34,22.65,2.59,0.65,4.53,1.94,,,,92.23,7.4,0,0,249
3.44,15.63,11.25,12.5,0,0.31,56.88,,,,22.19,2.6,0,0,250
6.02,55.87,20.92,9.17,0.57,0,7.45,,,,81.09,8.5,6.2,0,251
3.86,58.37,30.9,3.86,0.43,0,2.58,,,,92.7,8,0,1.1,252
10.03,17.27,15.6,15.88,0.84,0.28,40.11,,,,25.91,9.1,0,1.1,253
43.44,17.42,32.68,2.54,0.39,0.98,2.54,,,,96.28,11.1,32.2,0,254
14.29,23.89,18.97,11.48,0.23,1.17,29.98,,,,41.45,8.8,13.7,0,256
